empresa_id;empresa_nome
1;ELEVATA
10;CNH
16;SUPER TRATORES MAQS AGRICS LTDA
21;PARAÍSO MÁQUINAS
27;JARAGUÁ BAHIA MÁQUINAS E EQUIPAMENTOS AGRÍCOLAS
28;LIDER TRATORES LTDA
29;VEGRANDE
30;AGROWERNER
31;PARECIS MÁQUINAS AGRÍCOLAS LTDA
33;FORTRAL COM DE MAQ E EQUIP AGRÍCOLAS LTDA
35;MS EQUIPAMENTOS LTDA
36;TRATOWEL COMÉRCIO DE MÁQUINAS AGRÍCOLAS LTDA
37;A. ALVES S/A IND. COM.
42;AMAZONIA MAQS. E IMPLEMENTOS LTDA
43;CARPAL TRATORES LTDA
46;FORTRAC MAQUINAS AGRICOLAS LTDA.
49;MAQUINAS AGRICS. CARPENEDO LTDA.
56;PALMITRAC P. DAS MISSOES LTDA.
58;RODOMAC TRATORES PEÇAS E IMPL. S/A
59;SIMEX MAQS. AGRICS. LTDA
60;TAISA S/A COM. MAQUINAS AGRICOLAS
61;TRATORON - COMERCIO DE MAQ. E IMPL. AGRICOLAS LTDA
62;METROPOLITANA TRATORES
63;M SOBRAL TRATORES E MAQUINAS
64;MÓDULO TRATORES E IMPLEMENTOS LTDA
65;CDC MÁQUINAS E LOGISTICA INTEGRADA LIMITADA
67;TERRA PREMIUM
69;REIMAC
70;PME MÁQUINAS E EQUIPAMENTOS
71;TOPCOM
75;GRÃO DE OURO MAQUINAS AGRÍCOLAS
77;ARAGUAIA AGRÍCOLA
78;KOMATSU FOREST
79;PAMPEIRO CAMINHOES E PECAS LTDA
80;MUTUM MAQUINAS E IMPLEMENTOS AGRICOLAS LTDA
